Country,Date,Continent,TotalCases,TotalDeaths
Canada,2020-02-19,North America,8,0
Canada,2020-02-20,North America,8,0
Canada,2020-02-21,North America,9,0
Canada,2020-02-22,North America,9,0
Canada,2020-02-23,North America,10,0
Canada,2020-02-24,North America,11,0
Canada,2020-02-25,North America,11,0
Canada,2020-02-26,North America,12,0
Canada,2020-02-27,North America,14,0
Canada,2020-02-28,North America,15,0
Canada,2020-02-29,North America,20,0
Canada,2020-03-01,North America,24,0
Canada,2020-03-02,North America,27,0
Canada,2020-03-03,North America,30,0
Canada,2020-03-04,North America,34,0
Canada,2020-03-05,North America,37,0
Canada,2020-03-06,North America,54,0
Canada,2020-03-07,North America,60,0
Canada,2020-03-08,North America,66,0
Canada,2020-03-09,North America,77,1
Canada,2020-03-10,North America,95,1
Canada,2020-03-11,North America,110,1
Canada,2020-03-12,North America,142,1
Canada,2020-03-13,North America,198,1
Canada,2020-03-14,North America,252,1
Canada,2020-03-15,North America,341,1
Canada,2020-03-16,North America,441,4
Canada,2020-03-17,North America,598,8
Canada,2020-03-18,North America,727,9
Canada,2020-03-19,North America,873,12
Canada,2020-03-20,North America,1087,12
Canada,2020-03-21,North America,1328,19
Canada,2020-03-22,North America,1470,20
Canada,2020-03-23,North America,2091,24
Canada,2020-03-24,North America,2792,26
Canada,2020-03-25,North America,3409,36
Canada,2020-03-26,North America,4043,39
Canada,2020-03-27,North America,4757,55
Canada,2020-03-28,North America,5655,60
Canada,2020-03-29,North America,6320,65
Canada,2020-03-30,North America,7448,89
Canada,2020-03-31,North America,8612,101
Canada,2020-04-01,North America,9731,114
Canada,2020-04-02,North America,11283,173
Canada,2020-04-03,North America,12375,208
Canada,2020-04-04,North America,13912,231
Canada,2020-04-05,North America,15512,280
Canada,2020-04-06,North America,16667,323
Canada,2020-04-07,North America,17897,381
Canada,2020-04-08,North America,19438,427
Canada,2020-04-09,North America,20765,509
Canada,2020-04-10,North America,22148,569
Canada,2020-04-11,North America,23318,653
Canada,2020-04-12,North America,24383,717
Canada,2020-04-13,North America,25680,780
Canada,2020-04-14,North America,27063,903
Canada,2020-04-15,North America,28379,1010
Canada,2020-04-16,North America,30106,1195
Canada,2020-04-17,North America,31927,1310
Canada,2020-04-18,North America,33383,1470
Canada,2020-04-19,North America,35056,1587
Canada,2020-04-20,North America,36829,1690
Canada,2020-04-21,North America,38422,1834
Canada,2020-04-22,North America,40190,1974
Canada,2020-04-23,North America,42110,2147
Canada,2020-04-24,North America,43888,2302
Canada,2020-04-25,North America,45354,2465
Canada,2020-04-26,North America,46895,2560
Canada,2020-04-27,North America,48500,2707
Canada,2020-04-28,North America,50026,2859
Canada,2020-04-29,North America,51597,2996
Canada,2020-04-30,North America,53236,3184
Canada,2020-05-01,North America,55061,3391
Canada,2020-05-02,North America,56714,3566
Canada,2020-05-03,North America,59474,3682
Canada,2020-05-04,North America,60772,3854
Canada,2020-05-05,North America,62046,4043
Canada,2020-05-06,North America,63496,4232
